market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,prior_180d_trades,prior_180d_profit_factor_r,prior_180d_total_r
forex,USDCHF,momentum,long,5581,5582,5699,2024-01-22 09:15:00+00:00,2024-01-22 09:30:00+00:00,2024-01-23 14:45:00+00:00,0.86720002,0.87089998,36.99960000000058,34.99960000000058,0.0697203187251007,200,500,2.0,signal,117,10,1.9246311694360334,0.13446015936254918
forex,AUDUSD,momentum,short,5808,5809,6223,2024-01-24 07:30:00+00:00,2024-01-24 07:45:00+00:00,2024-01-30 15:45:00+00:00,0.65899998,0.65805,9.49980000000017,7.499800000000169,0.0735274509803938,150,100,2.0,signal,414,13,1.347122139254173,0.7401872549019279
futures,RTY,momentum,long,5536,5537,5657,2024-01-24 14:45:00+00:00,2024-01-24 15:00:00+00:00,2024-01-25 23:00:00+00:00,1994.7,1991.0,-37.000000000000455,-40.000000000000455,-0.1320132013201335,500,300,3.0,signal,120,11,1.4604904632152729,0.5577557755775742
forex,USDCHF,momentum,short,5876,5877,5971,2024-01-25 11:00:00+00:00,2024-01-25 11:15:00+00:00,2024-01-26 10:45:00+00:00,0.86479998,0.8635,12.999799999999784,10.999799999999784,0.0219119521912346,200,500,2.0,signal,94,11,2.4040711771071703,0.20418047808764989
futures,RTY,momentum,long,5721,5722,5817,2024-01-26 15:00:00+00:00,2024-01-26 15:15:00+00:00,2024-01-29 16:00:00+00:00,1993.5,1995.0,15.0,12.0,0.0396039603960396,500,300,3.0,signal,95,12,1.3169533169533278,0.42574257425744066
forex,GBPUSD,momentum,long,5979,5980,6167,2024-01-26 15:15:00+00:00,2024-01-26 15:30:00+00:00,2024-01-30 15:00:00+00:00,1.2724,1.2649,-75.0,-77.0,-1.0,20,75,2.0,sl,187,20,1.3088685015290749,0.6558441558441988
futures,HG,momentum,long,5741,5742,5831,2024-01-26 16:30:00+00:00,2024-01-26 16:45:00+00:00,2024-01-29 16:00:00+00:00,3.8625,3.87,15.000000000000568,12.000000000000568,0.1538461538461611,50,75,3.0,signal,89,10,4.012820512820495,3.0128205128204955
forex,USDCHF,momentum,short,6009,6010,6015,2024-01-28 22:15:00+00:00,2024-01-28 22:30:00+00:00,2024-01-28 23:45:00+00:00,0.86519998,0.86404997,11.500100000000346,9.500100000000346,0.0189245019920325,200,500,2.0,signal,5,12,2.5547513047766515,0.22609243027888448
forex,USDCHF,momentum,short,6074,6075,6097,2024-01-29 14:30:00+00:00,2024-01-29 14:45:00+00:00,2024-01-29 20:15:00+00:00,0.86440003,0.86159998,28.000499999999427,26.000499999999427,0.051793824701194,200,500,2.0,signal,22,13,2.684887878248252,0.24501693227091698
forex,USDCHF,momentum,short,6148,6149,6170,2024-01-30 09:00:00+00:00,2024-01-30 09:15:00+00:00,2024-01-30 14:30:00+00:00,0.86290002,0.86140001,15.00009999999996,13.00009999999996,0.0258966135458166,200,500,2.0,signal,21,14,3.041054232133808,0.29681075697211096
gold_spot,XAUUSD,momentum,long,5920,5921,5927,2024-01-30 15:15:00+00:00,2024-01-30 15:30:00+00:00,2024-01-30 17:00:00+00:00,2032.105,2035.945,383.9999999999918,372.9999999999918,1.199356913183253,1032,300,11.0,signal,6,50,1.3381910590187756,10.483922829582037
forex,USDCHF,momentum,short,6174,6175,6264,2024-01-30 15:30:00+00:00,2024-01-30 15:45:00+00:00,2024-01-31 14:00:00+00:00,0.86360002,0.86140001,22.000100000000295,20.000100000000295,0.039840836653387,200,500,2.0,signal,89,15,3.219135354310216,0.3227073705179275
forex,AUDUSD,momentum,short,6228,6229,6259,2024-01-30 17:00:00+00:00,2024-01-30 17:15:00+00:00,2024-01-31 00:45:00+00:00,0.65990001,0.6584,15.00009999999996,13.00009999999996,0.1274519607843133,150,100,2.0,signal,30,14,1.3816039624809215,0.8137147058823218
futures,RTY,momentum,long,5916,5917,5922,2024-01-30 17:45:00+00:00,2024-01-30 18:00:00+00:00,2024-01-30 19:15:00+00:00,2001.5,2007.9,64.00000000000091,61.00000000000091,0.2013201320132043,500,300,3.0,signal,5,13,1.3464373464373574,0.46534653465348025
forex,AUDUSD,momentum,short,6288,6289,6339,2024-01-31 08:00:00+00:00,2024-01-31 08:15:00+00:00,2024-01-31 20:45:00+00:00,0.65805,0.65605003,19.99970000000073,17.99970000000073,0.1764676470588306,150,100,2.0,signal,50,15,1.4413745097128536,0.9411666666666351
futures,6B,momentum,short,6015,6016,6087,2024-01-31 12:00:00+00:00,2024-01-31 12:15:00+00:00,2024-02-01 07:00:00+00:00,1.2691,1.2661,30.0,27.0,0.2621359223300971,30,100,3.0,tp,71,10,4.869565217391674,0.864077669902925
futures,RTY,momentum,long,5991,5992,6017,2024-01-31 13:30:00+00:00,2024-01-31 13:45:00+00:00,2024-01-31 20:00:00+00:00,2006.9,1976.9,-300.0,-303.0,-1.0,500,300,3.0,sl,25,14,1.4963144963145094,0.6666666666666845
gold_spot,XAUUSD,momentum,long,6026,6027,6027,2024-01-31 18:45:00+00:00,2024-01-31 19:00:00+00:00,2024-01-31 19:00:00+00:00,2046.445,2043.445,-300.0,-311.0,-1.0,1032,300,11.0,sl,0,51,1.3768799917021062,11.68327974276529
forex,USDCHF,momentum,short,6288,6289,6295,2024-01-31 20:00:00+00:00,2024-01-31 20:15:00+00:00,2024-01-31 21:45:00+00:00,0.8628,0.86150002,12.999799999999784,10.999799999999784,0.0219119521912346,200,500,2.0,signal,6,16,3.4931055738962535,0.36254820717131453
futures,HG,momentum,long,6034,6035,6076,2024-01-31 20:45:00+00:00,2024-01-31 21:00:00+00:00,2024-02-01 08:15:00+00:00,3.8905,3.853,-75.0,-78.0,-1.0,50,75,3.0,sl,41,11,4.166666666666656,3.1666666666666567
gold_spot,XAUUSD,momentum,long,6085,6086,6086,2024-02-01 10:30:00+00:00,2024-02-01 10:45:00+00:00,2024-02-01 10:45:00+00:00,2035.275,2032.275,-300.0,-311.0,-1.0,1032,300,11.0,sl,0,52,1.3338524919614154,10.68327974276529
forex,USDCHF,momentum,long,6358,6359,6465,2024-02-01 13:30:00+00:00,2024-02-01 13:45:00+00:00,2024-02-02 16:15:00+00:00,0.86154997,0.86619997,46.500000000000426,44.500000000000426,0.088645418326694,200,500,2.0,signal,106,17,3.643785701565735,0.3844601593625491
futures,ES,momentum,short,6091,6092,6094,2024-02-01 15:15:00+00:00,2024-02-01 15:30:00+00:00,2024-02-01 16:00:00+00:00,4899.0,4877.5,86.0,83.0,0.2739273927392739,300,300,3.0,signal,2,10,1.5432098765432098,0.726072607260726
forex,AUDUSD,momentum,short,6417,6418,6509,2024-02-01 16:15:00+00:00,2024-02-01 16:30:00+00:00,2024-02-02 15:15:00+00:00,0.65565002,0.65140003,42.49989999999926,40.49989999999926,0.3970578431372476,150,100,2.0,signal,91,16,1.5241317130428782,1.1176343137254656
futures,ES,momentum,long,6275,6276,6282,2024-02-05 15:15:00+00:00,2024-02-05 15:30:00+00:00,2024-02-05 17:00:00+00:00,4949.5,4957.0,30.0,27.0,0.0891089108910891,300,300,3.0,signal,6,11,1.7481481481481482,0.9999999999999999
futures,ES,momentum,long,6297,6298,6361,2024-02-05 20:45:00+00:00,2024-02-05 21:00:00+00:00,2024-02-06 13:45:00+00:00,4961.0,4967.0,24.0,21.0,0.0693069306930693,300,300,3.0,signal,63,12,1.8148148148148149,1.089108910891089
forex,AUDUSD,momentum,short,6656,6657,6877,2024-02-06 04:15:00+00:00,2024-02-06 04:30:00+00:00,2024-02-08 11:30:00+00:00,0.65149999,0.64950001,19.99980000000012,17.99980000000012,0.1764686274509815,150,100,2.0,signal,220,17,1.7103380642123684,1.5146921568627132
futures,HG,momentum,short,6377,6378,6447,2024-02-06 14:30:00+00:00,2024-02-06 14:45:00+00:00,2024-02-07 09:00:00+00:00,3.7965,3.7715,50.0,47.0,0.6025641025641025,50,75,3.0,tp,69,12,2.083333333333328,2.1666666666666567
futures,ES,momentum,long,6369,6370,6390,2024-02-06 15:45:00+00:00,2024-02-06 16:00:00+00:00,2024-02-06 21:00:00+00:00,4963.0,4975.0,48.0,45.0,0.1485148514851485,300,300,3.0,signal,20,13,1.866666666666667,1.1584158415841583
futures,6B,momentum,long,6563,6564,6643,2024-02-08 11:00:00+00:00,2024-02-08 11:15:00+00:00,2024-02-09 08:00:00+00:00,1.2616,1.2636,20.000000000000018,17.000000000000018,0.1650485436893205,30,100,3.0,signal,79,11,6.043478260870031,1.126213592233022
futures,6B,momentum,long,6647,6648,6670,2024-02-09 09:00:00+00:00,2024-02-09 09:15:00+00:00,2024-02-09 14:45:00+00:00,1.2617,1.2639,21.9999999999998,18.9999999999998,0.1844660194174737,30,100,3.0,signal,22,12,6.7826086956527005,1.2912621359223426
futures,6B,mean_reversion,short,6737,6738,6754,2024-02-12 08:30:00+00:00,2024-02-12 08:45:00+00:00,2024-02-12 12:45:00+00:00,1.263,1.2613,16.999999999998128,13.999999999998128,0.06896551724137,100,200,3.0,signal,16,10,51.333333333333364,0.7438423645320197
futures,6B,momentum,long,6739,6740,6827,2024-02-12 09:00:00+00:00,2024-02-12 09:15:00+00:00,2024-02-13 08:00:00+00:00,1.263,1.2655,25.000000000001688,22.000000000001688,0.2135922330097251,30,100,3.0,signal,87,13,7.6086956521744975,1.4757281553398163
futures,6B,mean_reversion,long,6761,6762,6774,2024-02-12 14:30:00+00:00,2024-02-12 14:45:00+00:00,2024-02-12 17:45:00+00:00,1.2625,1.2637,12.0000000000009,9.000000000000899,0.0443349753694625,100,200,3.0,signal,12,11,55.9999999999994,0.8128078817733897
futures,6B,mean_reversion,short,6782,6783,6806,2024-02-12 19:45:00+00:00,2024-02-12 20:00:00+00:00,2024-02-13 02:45:00+00:00,1.2627,1.2615,11.999999999998678,8.999999999998678,0.0443349753694516,100,200,3.0,signal,23,12,58.9999999999997,0.8571428571428522
futures,ES,momentum,long,6800,6801,6842,2024-02-13 08:30:00+00:00,2024-02-13 08:45:00+00:00,2024-02-13 19:00:00+00:00,5029.0,4954.0,-300.0,-303.0,-1.0,300,300,3.0,sl,41,14,1.977777777777778,1.3069306930693068
futures,HG,momentum,long,6833,6834,7017,2024-02-13 13:30:00+00:00,2024-02-13 13:45:00+00:00,2024-02-15 13:30:00+00:00,3.717,3.742,50.0,47.0,0.6025641025641025,50,75,3.0,tp,183,13,2.3846153846153793,2.7692307692307594
forex,AUDUSD,momentum,long,7323,7324,7374,2024-02-15 01:00:00+00:00,2024-02-15 01:15:00+00:00,2024-02-15 13:45:00+00:00,0.6487,0.65240002,37.00019999999915,35.00019999999915,0.3431392156862661,150,100,2.0,signal,50,18,1.7930957273122938,1.6911607843136947
forex,USDCHF,momentum,long,7289,7290,7525,2024-02-15 07:00:00+00:00,2024-02-15 07:15:00+00:00,2024-02-19 18:00:00+00:00,0.884,0.88284999,-11.500100000000346,-13.500100000000346,-0.0268926294820724,200,500,2.0,signal,235,18,4.253366392241213,0.4731055776892431
futures,6B,momentum,short,7036,7037,7129,2024-02-15 14:15:00+00:00,2024-02-15 14:30:00+00:00,2024-02-16 14:30:00+00:00,1.2576,1.2562,14.00000000000068,11.00000000000068,0.1067961165048609,30,100,3.0,signal,92,14,8.565217391305083,1.6893203883495413
forex,AUDUSD,momentum,long,7384,7385,7476,2024-02-15 16:15:00+00:00,2024-02-15 16:30:00+00:00,2024-02-16 15:15:00+00:00,0.65069997,0.65219998,15.00009999999996,13.00009999999996,0.1274519607843133,150,100,2.0,signal,91,19,1.9540161130960203,2.034299999999961
futures,6B,mean_reversion,short,7122,7123,7129,2024-02-16 12:45:00+00:00,2024-02-16 13:00:00+00:00,2024-02-16 14:30:00+00:00,1.2586,1.2562,23.999999999999577,20.999999999999577,0.1034482758620668,100,200,3.0,signal,6,13,61.99999999999927,0.9014778325123038
futures,6B,mean_reversion,long,7131,7132,7138,2024-02-16 15:00:00+00:00,2024-02-16 15:15:00+00:00,2024-02-16 16:45:00+00:00,1.2581,1.2595,14.00000000000068,11.00000000000068,0.0541871921182299,100,200,3.0,signal,6,14,68.99999999999912,1.0049261083743706
futures,6B,momentum,short,7132,7133,7302,2024-02-16 15:15:00+00:00,2024-02-16 15:30:00+00:00,2024-02-20 11:45:00+00:00,1.2578,1.2592,-14.00000000000068,-17.00000000000068,-0.1650485436893269,30,100,3.0,signal,169,15,9.04347826087037,1.7961165048544023
forex,AUDUSD,momentum,long,7614,7615,7650,2024-02-20 00:00:00+00:00,2024-02-20 00:15:00+00:00,2024-02-20 09:00:00+00:00,0.65280002,0.65434998,15.499599999999614,13.499599999999614,0.1323490196078393,150,100,2.0,signal,35,20,2.0137866603279524,2.161751960784274
futures,ZN,momentum,short,7241,7242,7372,2024-02-20 08:00:00+00:00,2024-02-20 08:15:00+00:00,2024-02-21 17:45:00+00:00,109.796875,109.71875,5.0,2.0,0.0130718954248366,50,150,3.0,signal,130,15,1.8636363636363638,0.2483660130718954
futures,CL,momentum,long,7264,7265,7474,2024-02-20 08:45:00+00:00,2024-02-20 09:00:00+00:00,2024-02-22 15:15:00+00:00,78.1,78.24,14.000000000000057,11.000000000000057,0.0363036303630364,500,300,3.0,signal,209,10,2.3564356435643594,1.3564356435643599
forex,USDCHF,momentum,long,7586,7587,7598,2024-02-20 09:15:00+00:00,2024-02-20 09:30:00+00:00,2024-02-20 12:15:00+00:00,0.8822,0.88209999,-1.0001000000003923,-3.0001000000003923,-0.0059762948207179,200,500,2.0,signal,11,19,3.5895497282693443,0.4462129482071707
futures,6B,mean_reversion,short,7300,7301,7302,2024-02-20 11:15:00+00:00,2024-02-20 11:30:00+00:00,2024-02-20 11:45:00+00:00,1.2592,1.2592,-0.0,-3.0,-0.0147783251231527,100,200,3.0,signal,1,15,72.66666666666602,1.0591133004926006
futures,6B,momentum,long,7381,7382,7404,2024-02-21 08:30:00+00:00,2024-02-21 08:45:00+00:00,2024-02-21 14:15:00+00:00,1.2617,1.2635,18.000000000000238,15.000000000000238,0.1456310679611673,30,100,3.0,signal,22,16,5.200000000000196,1.6310679611650754
forex,GBPUSD,momentum,long,7675,7676,7684,2024-02-21 08:30:00+00:00,2024-02-21 08:45:00+00:00,2024-02-21 10:45:00+00:00,1.2616,1.26185,2.4999999999986144,0.4999999999986144,0.0064935064934885,20,75,2.0,signal,8,28,1.3492723492723582,1.0909090909091128
forex,GBPUSD,momentum,long,7702,7703,7717,2024-02-21 15:15:00+00:00,2024-02-21 15:30:00+00:00,2024-02-21 19:00:00+00:00,1.2618,1.2638,20.0,18.0,0.2337662337662337,20,75,2.0,tp,14,29,1.3513513513513546,1.0974025974026014
futures,6B,mean_reversion,short,7408,7409,7821,2024-02-21 15:15:00+00:00,2024-02-21 15:30:00+00:00,2024-02-28 03:30:00+00:00,1.262,1.2669,-48.99999999999904,-51.99999999999904,-0.2561576354679756,100,200,3.0,signal,412,16,36.33333333333301,1.0443349753694477
futures,6B,momentum,long,7408,7409,7424,2024-02-21 15:15:00+00:00,2024-02-21 15:30:00+00:00,2024-02-21 19:15:00+00:00,1.262,1.2636,16.00000000000046,13.000000000000458,0.1262135922330141,30,100,3.0,signal,15,17,5.5750000000002125,1.7766990291262426
futures,GC,momentum,long,7378,7379,7440,2024-02-21 15:45:00+00:00,2024-02-21 16:00:00+00:00,2024-02-22 08:15:00+00:00,2035.1,2044.2,91.00000000000136,88.00000000000136,0.7787610619469147,300,110,3.0,signal,61,11,1.3805309734513227,1.902654867256613
forex,AUDUSD,momentum,long,7814,7815,7833,2024-02-22 02:00:00+00:00,2024-02-22 02:15:00+00:00,2024-02-22 06:45:00+00:00,0.65439999,0.65705001,26.5001999999992,24.5001999999992,0.2401980392156784,150,100,2.0,signal,18,21,2.0758537582281353,2.2941009803921135
forex,GBPUSD,momentum,long,7745,7746,7765,2024-02-22 02:00:00+00:00,2024-02-22 02:15:00+00:00,2024-02-22 07:00:00+00:00,1.26325,1.26525,20.0,18.0,0.2337662337662337,20,75,2.0,tp,19,30,1.42619542619543,1.331168831168835
forex,AUDUSD,momentum,long,7857,7858,7910,2024-02-22 12:45:00+00:00,2024-02-22 13:00:00+00:00,2024-02-23 02:00:00+00:00,0.65689999,0.65714997,2.49979999999983,0.4997999999998299,0.0048999999999983,150,100,2.0,signal,52,22,2.188498304138685,2.5342990196077917
futures,HG,momentum,long,7468,7469,7472,2024-02-22 13:45:00+00:00,2024-02-22 14:00:00+00:00,2024-02-22 14:45:00+00:00,3.8695,3.8945,50.0,47.0,0.6025641025641025,50,75,3.0,tp,3,14,2.6858974358974304,3.371794871794862
forex,USDCHF,momentum,long,7824,7825,7898,2024-02-22 20:45:00+00:00,2024-02-22 21:00:00+00:00,2024-02-23 15:15:00+00:00,0.88,0.88099998,9.999800000000114,7.999800000000114,0.0159358565737054,200,500,2.0,signal,73,20,3.4692272282382586,0.44023665338645285
forex,AUDUSD,momentum,long,7938,7939,7953,2024-02-23 09:00:00+00:00,2024-02-23 09:15:00+00:00,2024-02-23 12:45:00+00:00,0.65600002,0.65780002,18.000000000000238,16.000000000000238,0.1568627450980415,150,100,2.0,signal,14,23,2.190796234116647,2.53919901960779
futures,6B,momentum,long,7569,7570,7575,2024-02-23 09:30:00+00:00,2024-02-23 09:45:00+00:00,2024-02-23 11:00:00+00:00,1.2653,1.2676,22.999999999999687,19.999999999999687,0.1941747572815503,30,100,3.0,signal,5,18,5.900000000000234,1.9029126213592567
forex,GBPUSD,momentum,long,7871,7872,7875,2024-02-23 09:30:00+00:00,2024-02-23 09:45:00+00:00,2024-02-23 10:30:00+00:00,1.265,1.267,20.0,18.0,0.2337662337662337,20,75,2.0,tp,3,31,1.5010395010395055,1.5649350649350686
forex,AUDUSD,momentum,long,7965,7966,8447,2024-02-23 15:45:00+00:00,2024-02-23 16:00:00+00:00,2024-03-01 16:15:00+00:00,0.65600002,0.65319997,-28.00050000000054,-30.00050000000054,-0.2941225490196131,150,100,2.0,signal,481,24,2.264359418685299,2.6960617647058314
futures,HG,momentum,short,7570,7571,7634,2024-02-23 16:15:00+00:00,2024-02-23 16:30:00+00:00,2024-02-26 09:15:00+00:00,3.8705,3.8565,27.99999999999958,24.99999999999958,0.3205128205128151,50,75,3.0,signal,63,15,2.9871794871794815,3.9743589743589647
forex,GBPUSD,momentum,long,7988,7989,8011,2024-02-26 14:45:00+00:00,2024-02-26 15:00:00+00:00,2024-02-26 20:30:00+00:00,1.2681,1.26875,6.500000000000394,4.500000000000394,0.0584415584415635,20,75,2.0,signal,22,32,1.5758835758835807,1.7987012987013022
forex,USDCHF,momentum,short,7992,7993,8059,2024-02-26 14:45:00+00:00,2024-02-26 15:00:00+00:00,2024-02-27 07:30:00+00:00,0.88050002,0.87879997,17.00050000000064,15.000500000000638,0.0298814741035869,200,500,2.0,signal,66,21,3.5586092700432856,0.45617250996015823
futures,CL,momentum,short,7656,7657,8021,2024-02-26 14:45:00+00:00,2024-02-26 15:00:00+00:00,2024-03-01 14:00:00+00:00,76.93,79.93,-300.0,-303.0,-1.0,500,300,3.0,sl,364,11,2.3927392739273956,1.3927392739273963
futures,ZN,momentum,short,7660,7661,7726,2024-02-26 20:45:00+00:00,2024-02-26 21:00:00+00:00,2024-02-27 14:15:00+00:00,109.71875,109.640625,5.0,2.0,0.0130718954248366,50,150,3.0,signal,65,16,1.909090909090909,0.261437908496732
forex,GBPUSD,momentum,long,8065,8066,8072,2024-02-27 10:00:00+00:00,2024-02-27 10:15:00+00:00,2024-02-27 11:45:00+00:00,1.2675,1.2689,13.999999999998458,11.999999999998458,0.1558441558441358,20,75,2.0,signal,6,33,1.5945945945946012,1.8571428571428656
forex,USDCHF,momentum,short,8069,8070,8080,2024-02-27 10:00:00+00:00,2024-02-27 10:15:00+00:00,2024-02-27 12:45:00+00:00,0.88069999,0.8793,13.999900000000176,11.999900000000176,0.0239041832669326,200,500,2.0,signal,10,22,3.726210374832948,0.4860539840637451
futures,6B,momentum,long,7755,7756,7762,2024-02-27 10:00:00+00:00,2024-02-27 10:15:00+00:00,2024-02-27 11:45:00+00:00,1.2676,1.2691,14.999999999998348,11.999999999998348,0.116504854368916,30,100,3.0,signal,6,19,6.40000000000024,2.097087378640807
futures,6B,momentum,long,7768,7769,7780,2024-02-27 13:15:00+00:00,2024-02-27 13:30:00+00:00,2024-02-27 16:15:00+00:00,1.2681,1.2693,12.0000000000009,9.000000000000899,0.0873786407767077,30,100,3.0,signal,11,20,6.700000000000208,2.213592233009723
